Year,Month,SearchInterest
2004,1,5
2004,2,4
2004,3,4
2004,4,4
2004,5,4
2004,6,3
2004,7,4
2004,8,3
2004,9,4
2004,10,5
2004,11,5
2004,12,5
2005,1,4
2005,2,4
2005,3,4
2005,4,4
2005,5,3
2005,6,3
2005,7,4
2005,8,4
2005,9,4
2005,10,4
2005,11,4
2005,12,4
2006,1,4
2006,2,4
2006,3,4
2006,4,4
2006,5,4
2006,6,4
2006,7,3
2006,8,3
2006,9,3
2006,10,3
2006,11,4
2006,12,4
2007,1,3
2007,2,3
2007,3,3
2007,4,3
2007,5,3
2007,6,3
2007,7,3
2007,8,3
2007,9,3
2007,10,3
2007,11,3
2007,12,3
2008,1,3
2008,2,3
2008,3,3
2008,4,3
2008,5,3
2008,6,4
2008,7,4
2008,8,4
2008,9,3
2008,10,4
2008,11,4
2008,12,4
2009,1,4
2009,2,4
2009,3,4
2009,4,4
2009,5,5
2009,6,6
2009,7,5
2009,8,5
2009,9,8
2009,10,15
2009,11,8
2009,12,8
2010,1,9
2010,2,11
2010,3,12
2010,4,12
2010,5,16
2010,6,77
2010,7,83
2010,8,49
2010,9,30
2010,10,30
2010,11,36
2010,12,33
2011,1,25
2011,2,21
2011,3,18
2011,4,17
2011,5,15
2011,6,15
2011,7,17
2011,8,15
2011,9,13
2011,10,15
2011,11,14
2011,12,15
2012,1,13
2012,2,11
2012,3,11
2012,4,11
2012,5,10
2012,6,11
2012,7,13
2012,8,12
2012,9,12
2012,10,12
2012,11,12
2012,12,14
2013,1,14
2013,2,13
2013,3,13
2013,4,13
2013,5,12
2013,6,12
2013,7,12
2013,8,12
2013,9,12
2013,10,14
2013,11,12
2013,12,13
2014,1,11
2014,2,11
2014,3,11
2014,4,11
2014,5,10
2014,6,10
2014,7,11
2014,8,11
2014,9,10
2014,10,11
2014,11,13
2014,12,14
2015,1,12
2015,2,10
2015,3,10
2015,4,9
2015,5,9
2015,6,9
2015,7,10
2015,8,11
2015,9,10
2015,10,11
2015,11,11
2015,12,12
2016,1,10
2016,2,9
2016,3,9
2016,4,9
2016,5,8
2016,6,9
2016,7,9
2016,8,8
2016,9,9
2016,10,11
2016,11,10
2016,12,10
2017,1,9
2017,2,8
2017,3,8
2017,4,8
2017,5,7
2017,6,8
2017,7,8
2017,8,8
2017,9,8
2017,10,9
2017,11,8
2017,12,9
2018,1,8
2018,2,8
2018,3,8
2018,4,8
2018,5,8
2018,6,9
2018,7,9
2018,8,8
2018,9,9
2018,10,11
2018,11,15
2018,12,11
2019,1,12
2019,2,13
2019,3,15
2019,4,12
2019,5,19
2019,6,100
2019,7,67
2019,8,32
2019,9,23
2019,10,24
